,Parameter,,,,,,C0_0,C0_1,C0_2,C0_3,C0_4,C0_5,C0_6,C0_7,C0_8,C0_9,C0_10,C0_11,C0_12,C0_13,C0_14,C0_15,C0_16,C0_17,C0_18,C0_19,C0_20,C0_21,C0_22,C0_23,C0_24,C0_25,C0_26,C0_27,C0_28,C0_29,C0_30,C0_31,C0_32,C0_33,C0_34,C0_35,C0_36,C0_37,C0_38,C0_39,C0_40,C0_41,C0_42,C0_43,C0_44,C0_45,C0_46,C0_47,C0_48,C0_49,C0_50,C0_51,C0_52,C0_53,C0_54,C0_55,C0_56,C0_57,C0_58,C0_59,C0_60,C0_61,C0_62,C0_63
,cr018gpii_v1d0.scs,,,,,,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise,stat_noise
,cr018gpii_v1d0.scs,,,,,,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ff_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res,ss_res
,cr018gpii_v1d0.scs,,,,,,ff_mim,ff_mim,ff_mim,ff_mim,ff_mim,ff_mim,ff_mim,ff_mim,ff_mim,ff_mim,ff_mim,ff_mim,ff_mim,ff_mim,ff_mim,ff_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim,ff_mim,ff_mim,ff_mim,ff_mim,ff_mim,ff_mim,ff_mim,ff_mim,ff_mim,ff_mim,ff_mim,ff_mim,ff_mim,ff_mim,ff_mim,ff_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim,ss_mim
,cr018gpii_v1d0.scs,,,,,,ff,ff,ff,ff,fs,fs,fs,fs,sf,sf,sf,sf,ss,ss,ss,ss,ff,ff,ff,ff,fs,fs,fs,fs,sf,sf,sf,sf,ss,ss,ss,ss,ff,ff,ff,ff,fs,fs,fs,fs,sf,sf,sf,sf,ss,ss,ss,ss,ff,ff,ff,ff,fs,fs,fs,fs,sf,sf,sf,sf,ss,ss,ss,ss
,temperature,,,,,,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80
,vdd,,,,,,1.78,1.78,1.82,1.82,1.78,1.78,1.82,1.82,1.78,1.78,1.82,1.82,1.78,1.78,1.82,1.82,1.78,1.78,1.82,1.82,1.78,1.78,1.82,1.82,1.78,1.78,1.82,1.82,1.78,1.78,1.82,1.82,1.78,1.78,1.82,1.82,1.78,1.78,1.82,1.82,1.78,1.78,1.82,1.82,1.78,1.78,1.82,1.82,1.78,1.78,1.82,1.82,1.78,1.78,1.82,1.82,1.78,1.78,1.82,1.82,1.78,1.78,1.82,1.82

Test,Output,Spec,Weight,Pass/Fail,Min,Max,C0_0,C0_1,C0_2,C0_3,C0_4,C0_5,C0_6,C0_7,C0_8,C0_9,C0_10,C0_11,C0_12,C0_13,C0_14,C0_15,C0_16,C0_17,C0_18,C0_19,C0_20,C0_21,C0_22,C0_23,C0_24,C0_25,C0_26,C0_27,C0_28,C0_29,C0_30,C0_31,C0_32,C0_33,C0_34,C0_35,C0_36,C0_37,C0_38,C0_39,C0_40,C0_41,C0_42,C0_43,C0_44,C0_45,C0_46,C0_47,C0_48,C0_49,C0_50,C0_51,C0_52,C0_53,C0_54,C0_55,C0_56,C0_57,C0_58,C0_59,C0_60,C0_61,C0_62,C0_63
uwb_system:uwb_osc_ring_top_tb:1,Frequency,,,,960.9e6,1.492e9,1.447e9,1.357e9,1.422e9,1.339e9,1.288e9,1.239e9,1.307e9,1.255e9,1.256e9,1.195e9,1.273e9,1.204e9,1.053e9,1.023e9,1.078e9,1.044e9,1.447e9,1.357e9,1.422e9,1.339e9,1.288e9,1.239e9,1.307e9,1.255e9,1.256e9,1.195e9,1.273e9,1.204e9,1.053e9,1.023e9,1.078e9,1.044e9,1.187e9,1.3e9,1.492e9,1.324e9,1.19e9,1.155e9,1.198e9,1.165e9,1.156e9,1.11e9,1.153e9,1.112e9,985.8e6,960.9e6,1.01e9,978.8e6,1.187e9,1.3e9,1.492e9,1.324e9,1.19e9,1.155e9,1.198e9,1.165e9,1.156e9,1.11e9,1.153e9,1.112e9,985.8e6,960.9e6,1.01e9,978.8e6

