Delay X,Delay Y
3.717561814286723e-08,1.105709082629818e-09
7.148156446290927e-08,1.096398424457408e-09
1.05783246646828e-07,1.118373488551306e-09
1.400789348806977e-07,1.110705917577879e-09
1.743803928951928e-07,1.138667426014007e-09
2.086868321540867e-07,1.125108393561709e-09
2.429949657076318e-07,1.148921071303217e-09
2.773107378300218e-07,1.141491913723535e-09
3.116091301596233e-07,1.170067174364784e-09
3.459228958671375e-07,1.16345492036967e-09
3.802211838613347e-07,1.179752208168579e-09
4.145205450042983e-07,1.182899312080232e-09
4.488270707731465e-07,1.203102698510339e-09
4.831148440945956e-07,1.221938207724397e-09
5.174070655977855e-07,1.214971008644582e-09
5.516934679542507e-07,1.260327618442016e-09
5.86003443267691e-07,1.236912750243391e-09
6.203139111507168e-07,1.250229569366307e-09
6.546173347325813e-07,1.245753412245788e-09
6.889220860981547e-07,1.28109081761031e-09
7.232271595833079e-07,1.267484422051414e-09
7.57534797881173e-07,1.277615472241302e-09
7.918309371076136e-07,1.281055397587403e-09
8.261390780247957e-07,1.297354974778885e-09
8.604297058964126e-07,1.300289728353448e-09
8.94718326150339e-07,1.309355452647676e-09
9.289914015796979e-07,1.315238615528465e-09
9.632743323442069e-07,1.313557384628598e-09
9.975598406724957e-07,1.333136251779293e-09
1.031855698690718e-06,1.345417128355555e-09
1.066137747908341e-06,1.350897004586651e-09
1.100423920116828e-06,1.333571550586036e-09
1.134735038888121e-06,1.369438647385579e-09
1.169031968185493e-06,1.379427058237237e-09
1.203327990955007e-06,1.382876895381198e-09
1.237626166127963e-06,1.358761697904021e-09
1.271918974122082e-06,1.402832439138728e-09
1.306218358463839e-06,1.409699678942254e-09
1.34051364993236e-06,1.417971474231268e-09
1.374817782071623e-06,1.392109947748303e-09
1.409114013933856e-06,1.434638387235905e-09
1.443416186883543e-06,1.441700597401714e-09
1.477702415454532e-06,1.448991697606431e-09
1.511987863050815e-06,1.479617755543408e-09
1.546289425098975e-06,1.466597649924532e-09
1.580573864400155e-06,1.476084427887977e-09
1.614870088646231e-06,1.48443956062389e-09
1.649159396890753e-06,1.508019528346627e-09
1.683463097220578e-06,1.502618931513976e-09
1.717778151896989e-06,1.509597994915462e-09
1.752087649012076e-06,1.517827809917322e-09
1.786391444433765e-06,1.52504661063888e-09
1.820701221232633e-06,1.532903960208126e-09
1.855008164376366e-06,1.544110185802003e-09
1.889308197657621e-06,1.549550508203112e-09
1.923597250753911e-06,1.551449559380214e-09
1.957881327870024e-06,1.566584768757815e-09
1.992169494644907e-06,1.57569067315638e-09
2.026449911589856e-06,1.58120357964266e-09
2.060734615135984e-06,1.593541176622764e-09
2.095018608486786e-06,1.604015300566644e-09
2.129321557126184e-06,1.610668835590234e-09
2.163611618758018e-06,1.617771105890869e-09
2.197886428550571e-06,1.578171817693659e-09
2.232188272415059e-06,2.17329308965945e-09
2.266491401282128e-06,2.180925003452404e-09
2.300786593459643e-06,2.190012416191689e-09
2.335086320958233e-06,2.196526029485698e-09
2.36939649700267e-06,2.205549031029641e-09
2.40369743830978e-06,2.207814153802048e-09
2.43799680481776e-06,2.218947291318316e-09
2.472297405487622e-06,2.227178912289075e-09
2.506591089500154e-06,2.237285623059857e-09
2.540893820375839e-06,2.243205476733097e-09
2.575183395733151e-06,2.25149700945044e-09
2.609474668022222e-06,2.264067039623517e-09
2.643770756275695e-06,2.27000551783179e-09
2.678062667295206e-06,2.280488559645588e-09
2.71234879095872e-06,2.287067817334017e-09
2.746643491745685e-06,2.298860045237549e-09
2.780937622452363e-06,2.307302843635054e-09
2.815257215271817e-06,2.311007361673088e-09
2.849552486969608e-06,2.322600022081506e-09
2.88386366399848e-06,2.330039630887693e-09
2.918149393090079e-06,2.337395516171058e-09
2.952454854522107e-06,2.345512863596561e-09
2.986743063907e-06,2.354175936599556e-09
